G1 T0=1001860 T1=998140
G2 T0=995900 T1=1004100
G3 T0=1001060 T1=998940
G4 T0=996700 T1=1003300
G5 T0=996380 T1=1003620
G6 T0=996020 T1=1003980
G7 T0=1006980 T1=993020
G8 T0=993540 T1=1006460
G9 T0=999440 T1=1000560
G10 T0=997240 T1=1002760
G11 T0=995660 T1=1004340
G12 T0=1003300 T1=996700
G13 T0=1000280 T1=999720
G14 T0=996200 T1=1003800
G15 T0=1001600 T1=998400
G16 T0=996320 T1=1003680
G17 T0=993760 T1=1006240
G18 T0=992320 T1=1007680
G19 T0=1001460 T1=998540
G20 T0=998880 T1=1001120
G21 T0=999320 T1=1000680
G22 T0=1001700 T1=998300
G23 T0=999920 T1=1000080
G24 T0=1001700 T1=998300
G25 T0=1002860 T1=997140
G26 T0=1002580 T1=997420
G27 T0=1005040 T1=994960
G28 T0=997480 T1=1002520
G29 T0=1001380 T1=998620
G30 T0=996440 T1=1003560
G31 T0=1000560 T1=999440
G32 T0=996600 T1=1003400
G33 T0=998560 T1=1001440
G34 T0=998600 T1=1001400
G35 T0=1001680 T1=998320
G36 T0=993940 T1=1006060
G37 T0=1001580 T1=998420
G38 T0=997880 T1=1002120
G39 T0=1000860 T1=999140
G40 T0=1000940 T1=999060
G41 T0=1002040 T1=997960
G42 T0=1001020 T1=998980
G43 T0=1005220 T1=994780
G44 T0=998940 T1=1001060
G45 T0=1000280 T1=999720
G46 T0=1004040 T1=995960
G47 T0=999100 T1=1000900
G48 T0=997260 T1=1002740
G49 T0=1001240 T1=998760
G50 T0=1000760 T1=999240
G51 T0=1001480 T1=998520
G52 T0=1004940 T1=995060
G53 T0=999780 T1=1000220
G54 T0=1000760 T1=999240
G55 T0=1000340 T1=999660
G56 T0=1006040 T1=993960
G57 T0=998040 T1=1001960
G58 T0=999160 T1=1000840
G59 T0=997900 T1=1002100
G60 T0=997920 T1=1002080
G855 T0=252500 T1=1747500
G856 T0=249120 T1=1750880
G857 T0=248860 T1=1751140
G858 T0=503540 T1=1496460
G859 T0=128100 T1=1871900
G860 T0=1888560 T1=111440
G861 T0=1747420 T1=252580
G862 T0=1748700 T1=251300
G863 T0=1749160 T1=250840
G864 T0=752380 T1=1247620
G865 T0=1984720 T1=15280
G866 T0=250720 T1=1749280
G867 T0=32420 T1=1967580
G868 T0=15060 T1=1984940
G869 T0=748760 T1=1251240
G870 T0=999760 T1=1000240
G871 T0=1001420 T1=998580
G872 T0=1498100 T1=501900
G873 T0=1293240 T1=706760
G874 T0=1469180 T1=530820
G875 T0=1481580 T1=518420
G876 T0=573980 T1=1426020
G877 T0=1294660 T1=705340
G878 T0=1279300 T1=720700
G879 T0=1267100 T1=732900
G880 T0=1278260 T1=721740
G269 T0=128100 T1=1871900
G270 T0=126720 T1=1873280
G273 T0=1751140 T1=248860
G276 T0=1749280 T1=250720
G279 T0=129380 T1=1870620
G280 T0=126260 T1=1873740
G284 T0=125980 T1=1874020
G285 T0=500000 T1=1500000
G286 T0=247120 T1=1752880
G287 T0=1745300 T1=254700
G290 T0=1747500 T1=252500
G291 T0=1750880 T1=249120
G292 T0=1751140 T1=248860
G293 T0=1747420 T1=252580
G294 T0=1749240 T1=250760
G295 T0=1748700 T1=251300
G296 T0=1749160 T1=250840
G297 T0=1496460 T1=503540
G298 T0=495280 T1=1504720
G301 T0=497220 T1=1502780
G302 T0=501780 T1=1498220
G303 T0=495420 T1=1504580
G304 T0=503040 T1=1496960
G305 T0=501100 T1=1498900
G306 T0=499960 T1=1500040
G307 T0=502520 T1=1497480
G308 T0=499520 T1=1500480
G309 T0=1497460 T1=502540
G310 T0=1002080 T1=997920
G316 T0=1499900 T1=500100
G317 T0=1496340 T1=503660
G318 T0=1496960 T1=503040
G319 T0=499620 T1=1500380
